,collectionDate,InBedsOccAnyPat__Numbeds_Est
0,Day for which estimate is made,"Hospital inpatient bed occupancy, percent estimate (percent of inpatient beds)"
382,18APR2020,61.6
383,19APR2020,60.7
384,20APR2020,59.8
385,21APR2020,61.7
386,22APR2020,61.3
387,23APR2020,59.5
388,24APR2020,56.3
389,25APR2020,50.5
390,26APR2020,44.1
391,27APR2020,62.4
392,28APR2020,62.7
393,29APR2020,63.1
394,30APR2020,60.7
395,01MAY2020,58.8
396,02MAY2020,52.7
397,03MAY2020,59.5
398,04MAY2020,59.0
399,05MAY2020,59.7
400,06MAY2020,57.2
401,07MAY2020,50.9
402,08MAY2020,63.4
403,09MAY2020,58.2
404,10MAY2020,52.7
405,11MAY2020,48.0
406,12MAY2020,57.5
407,13MAY2020,51.9
408,14MAY2020,65.2
409,15MAY2020,65.4
410,16MAY2020,64.4
411,17MAY2020,63.5
412,18MAY2020,61.9
413,19MAY2020,66.7
414,20MAY2020,67.0
415,21MAY2020,66.6
416,22MAY2020,71.3
417,23MAY2020,68.0
418,24MAY2020,66.4
419,25MAY2020,59.9
420,26MAY2020,57.7
421,27MAY2020,61.9
422,28MAY2020,63.2
423,29MAY2020,62.6
424,30MAY2020,61.4
425,31MAY2020,58.9
426,01JUN2020,60.7
427,02JUN2020,63.0
428,03JUN2020,66.1
429,04JUN2020,69.5
430,05JUN2020,68.8
431,06JUN2020,68.5
432,07JUN2020,63.3
433,08JUN2020,63.8
434,09JUN2020,67.7
435,10JUN2020,68.2
436,11JUN2020,70.0
437,12JUN2020,69.9
438,13JUN2020,68.4
439,14JUN2020,66.3
440,15JUN2020,68.0
441,16JUN2020,71.7
442,17JUN2020,72.6
443,18JUN2020,72.2
444,19JUN2020,70.7
445,20JUN2020,68.2
446,21JUN2020,67.0
447,22JUN2020,69.0
448,23JUN2020,72.9
449,24JUN2020,73.9
450,25JUN2020,76.2
451,26JUN2020,72.6
452,27JUN2020,70.5
453,28JUN2020,69.6
454,29JUN2020,77.3
455,30JUN2020,78.0
456,01JUL2020,80.3
457,02JUL2020,75.4
458,03JUL2020,74.5
459,04JUL2020,72.8
460,05JUL2020,72.6
461,06JUL2020,74.9
462,07JUL2020,76.8
463,01APR2020,52.5
464,02APR2020,54.9
465,03APR2020,52.0
466,04APR2020,52.3
467,05APR2020,50.4
468,06APR2020,50.7
469,07APR2020,53.5
470,08APR2020,53.8
471,09APR2020,54.1
472,10APR2020,53.4
473,11APR2020,52.0
474,12APR2020,52.8
475,13APR2020,52.4
476,14APR2020,54.0
477,15APR2020,53.3
478,16APR2020,52.9
479,17APR2020,54.5
480,18APR2020,53.8
481,19APR2020,52.6
482,20APR2020,53.5
483,21APR2020,55.0
484,22APR2020,54.7
485,23APR2020,57.1
486,24APR2020,57.6
487,25APR2020,57.5
488,26APR2020,57.4
489,27APR2020,57.8
490,28APR2020,59.2
491,29APR2020,59.5
492,30APR2020,58.7
493,01MAY2020,58.2
494,02MAY2020,56.9
495,03MAY2020,54.3
496,04MAY2020,54.2
497,05MAY2020,57.2
498,06MAY2020,58.6
499,07MAY2020,58.3
500,08MAY2020,58.3
501,09MAY2020,57.7
502,10MAY2020,56.5
503,11MAY2020,56.1
504,12MAY2020,58.9
505,13MAY2020,59.6
506,14MAY2020,59.8
507,15MAY2020,59.7
508,16MAY2020,58.4
509,17MAY2020,57.1
510,18MAY2020,57.1
511,19MAY2020,59.7
512,20MAY2020,60.5
513,21MAY2020,60.6
514,22MAY2020,61.0
515,23MAY2020,60.1
516,24MAY2020,58.3
517,25MAY2020,57.9
518,26MAY2020,58.6
519,27MAY2020,60.4
520,28MAY2020,61.5
521,29MAY2020,62.2
522,30MAY2020,61.0
523,31MAY2020,59.5
524,01JUN2020,59.1
525,02JUN2020,61.6
526,03JUN2020,60.3
527,04JUN2020,62.0
528,05JUN2020,62.6
529,06JUN2020,60.8
530,07JUN2020,59.4
531,08JUN2020,59.8
532,09JUN2020,61.6
533,10JUN2020,62.5
534,11JUN2020,63.2
535,12JUN2020,63.6
536,13JUN2020,62.1
537,14JUN2020,61.4
538,15JUN2020,60.4
539,16JUN2020,62.4
540,17JUN2020,63.3
541,18JUN2020,64.1
542,19JUN2020,62.9
543,20JUN2020,61.6
544,21JUN2020,60.0
545,22JUN2020,60.2
546,23JUN2020,62.4
547,24JUN2020,64.8
548,25JUN2020,65.4
549,26JUN2020,65.9
550,27JUN2020,64.5
551,28JUN2020,63.2
552,29JUN2020,63.2
553,30JUN2020,65.0
554,01JUL2020,65.8
555,02JUL2020,66.5
556,03JUL2020,63.9
557,04JUL2020,61.2
558,05JUL2020,60.1
559,06JUL2020,60.5
560,07JUL2020,64.5
561,15APR2020,48.1
562,16APR2020,49.6
563,17APR2020,49.2
564,18APR2020,49.5
565,19APR2020,48.2
566,20APR2020,49.5
567,21APR2020,53.3
568,22APR2020,53.1
569,23APR2020,52.2
570,24APR2020,51.9
571,25APR2020,50.0
572,26APR2020,46.3
573,27APR2020,49.9
574,28APR2020,51.6
575,29APR2020,53.0
576,30APR2020,51.5
577,01MAY2020,51.8
578,02MAY2020,51.1
579,03MAY2020,47.8
580,04MAY2020,48.6
581,05MAY2020,50.1
582,06MAY2020,48.3
583,07MAY2020,46.7
584,08MAY2020,53.8
585,09MAY2020,48.9
586,10MAY2020,46.4
587,11MAY2020,47.7
588,12MAY2020,49.3
589,13MAY2020,50.0
590,14MAY2020,54.9
591,15MAY2020,54.5
592,16MAY2020,54.3
593,17MAY2020,52.8
594,18MAY2020,51.1
595,19MAY2020,54.0
596,20MAY2020,57.0
597,21MAY2020,55.8
598,22MAY2020,56.5
599,23MAY2020,54.9
600,24MAY2020,51.5
601,25MAY2020,50.0
602,26MAY2020,50.4
603,27MAY2020,52.3
604,28MAY2020,52.7
605,29MAY2020,53.7
606,30MAY2020,52.3
607,31MAY2020,51.7
608,01JUN2020,55.5
609,02JUN2020,53.4
610,03JUN2020,57.9
611,04JUN2020,57.1
612,05JUN2020,57.1
613,06JUN2020,53.6
614,07JUN2020,52.0
615,08JUN2020,56.2
616,09JUN2020,60.0
617,10JUN2020,59.6
618,11JUN2020,61.0
619,12JUN2020,57.7
620,13JUN2020,57.3
621,14JUN2020,56.2
622,15JUN2020,55.2
623,16JUN2020,58.4
624,17JUN2020,58.8
625,18JUN2020,58.7
626,19JUN2020,57.4
627,20JUN2020,56.5
628,21JUN2020,54.5
629,22JUN2020,55.1
630,23JUN2020,56.2
631,24JUN2020,51.1
632,25JUN2020,59.8
633,26JUN2020,57.3
634,27JUN2020,55.7
635,28JUN2020,55.8
636,29JUN2020,54.0
637,30JUN2020,55.4
638,01JUL2020,55.3
639,02JUL2020,57.7
640,03JUL2020,53.8
641,04JUL2020,47.4
642,05JUL2020,48.0
643,06JUL2020,51.3
644,07JUL2020,54.8
645,23APR2020,54.3
646,24APR2020,57.5
647,25APR2020,55.6
648,26APR2020,55.9
649,27APR2020,56.0
650,28APR2020,56.5
651,29APR2020,56.6
652,30APR2020,56.6
653,01MAY2020,55.7
654,02MAY2020,54.8
655,03MAY2020,53.8
656,04MAY2020,55.5
657,05MAY2020,57.0
658,06MAY2020,56.9
659,07MAY2020,56.2
660,08MAY2020,55.2
661,09MAY2020,53.8
662,10MAY2020,53.4
663,11MAY2020,53.0
664,12MAY2020,55.2
665,13MAY2020,55.5
666,14MAY2020,55.8
667,15MAY2020,55.4
668,16MAY2020,54.8
669,17MAY2020,54.6
670,18MAY2020,54.4
671,19MAY2020,56.6
672,20MAY2020,56.8
673,21MAY2020,56.5
674,22MAY2020,56.8
675,23MAY2020,56.0
676,24MAY2020,54.3
677,25MAY2020,54.8
678,26MAY2020,55.3
679,27MAY2020,58.7
680,28MAY2020,58.5
681,29MAY2020,58.3
682,30MAY2020,55.7
683,31MAY2020,54.9
684,01JUN2020,53.9
685,02JUN2020,57.2
686,03JUN2020,58.3
687,04JUN2020,58.6
688,05JUN2020,57.6
689,06JUN2020,56.4
690,07JUN2020,53.5
691,08JUN2020,54.1
692,09JUN2020,57.0
693,10JUN2020,58.2
694,11JUN2020,58.6
695,12JUN2020,57.8
696,13JUN2020,58.5
697,14JUN2020,57.2
698,15JUN2020,56.3
699,16JUN2020,58.9
700,17JUN2020,60.1
701,18JUN2020,61.2
702,19JUN2020,60.5
703,20JUN2020,58.3
704,21JUN2020,56.1
705,22JUN2020,56.9
706,23JUN2020,60.2
707,24JUN2020,62.3
708,25JUN2020,62.7
709,26JUN2020,62.3
710,27JUN2020,60.3
711,28JUN2020,57.7
712,29JUN2020,58.0
713,30JUN2020,64.6
714,01JUL2020,64.7
715,02JUL2020,64.3
716,03JUL2020,65.3
717,04JUL2020,63.2
718,05JUL2020,61.9
719,06JUL2020,64.0
720,07JUL2020,69.3
721,01APR2020,61.8
722,02APR2020,63.2
723,03APR2020,62.2
724,04APR2020,56.1
725,05APR2020,57.9
726,06APR2020,59.1
727,07APR2020,60.9
728,08APR2020,60.4
729,09APR2020,64.0
730,10APR2020,60.9
731,11APR2020,61.1
732,12APR2020,61.7
733,13APR2020,62.4
734,14APR2020,63.2
735,15APR2020,65.0
736,16APR2020,64.6
737,17APR2020,63.7
738,18APR2020,63.0
739,19APR2020,62.1
740,20APR2020,66.8
741,21APR2020,67.6
742,22APR2020,69.3
743,23APR2020,67.6
744,24APR2020,64.4
745,25APR2020,65.9
746,26APR2020,66.5
747,27APR2020,67.3
748,28APR2020,71.4
749,29APR2020,74.5
750,30APR2020,68.9
751,01MAY2020,70.9
752,02MAY2020,70.1
753,03MAY2020,65.4
754,04MAY2020,69.8
755,05MAY2020,66.4
756,06MAY2020,71.3
757,07MAY2020,68.6
758,08MAY2020,66.9
759,09MAY2020,69.8
760,10MAY2020,68.9
761,11MAY2020,69.5
762,12MAY2020,67.4
763,13MAY2020,68.2
764,14MAY2020,67.8
765,15MAY2020,67.6
766,16MAY2020,71.0
767,17MAY2020,76.1
768,18MAY2020,69.9
769,19MAY2020,70.9
770,20MAY2020,76.2
771,21MAY2020,73.6
